report_id,family_id,report_date,borough,child_age,child_race_ethnicity,allegation_type,reporter_type,reporter_accuracy_score,assigned_caseworker_id,caseworker_caseload,narrative,outcome
SCR000483,FAM00596,2022-04-02,Bronx,8,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.481,CW0035,64,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000484,FAM00342,2021-02-18,Brooklyn,10,Black/African American,Neglect - Medical,Shelter Staff,0.39,CW0038,37,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000485,FAM00397,2024-09-13,Bronx,12,White,Neglect - Inadequate Supervision,Neighbor/Community,0.247,CW0053,56,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000486,FAM00019,2022-01-31,Bronx,2,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.271,CW0015,51,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000487,FAM00177,2023-03-28,Bronx,2,Hispanic/Latino,Neglect - Educational,Law Enforcement,0.345,CW0042,53,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000488,FAM00612,2022-11-04,Bronx,1,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.302,CW0004,31,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000489,FAM00396,2022-07-25,Bronx,9,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.509,CW0039,60,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000490,FAM00445,2021-05-23,Brooklyn,10,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.132,CW0079,51,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000491,FAM00233,2022-07-26,Queens,0,White,Neglect - Educational,Hospital/Medical,0.354,CW0023,30,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000492,FAM00076,2022-12-21,Brooklyn,16,Black/African American,Neglect - Medical,Social Service Provider,0.305,CW0015,43,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000493,FAM00265,2024-08-06,Brooklyn,0,White,Emotional Abuse,Shelter Staff,0.318,CW0012,54,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000494,FAM00455,2023-11-10,Bronx,7,Multiracial,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.454,CW0070,65,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000495,FAM00384,2023-03-30,Queens,10,Hispanic/Latino,Emotional Abuse,School/Educational Staff,0.3,CW0054,65,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000496,FAM00564,2024-10-23,Brooklyn,14,Hispanic/Latino,Neglect - Educational,Hospital/Medical,0.454,CW0038,70,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000497,FAM00506,2024-01-04,Bronx,11,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.306,CW0028,32,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000498,FAM00367,2022-11-10,Manhattan,12,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.315,CW0079,34,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000499,FAM00144,2021-02-26,Bronx,4,Asian,Emotional Abuse,Hospital/Medical,0.463,CW0019,30,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000500,FAM00069,2021-08-25,Brooklyn,13,Multiracial,Emotional Abuse,Shelter Staff,0.238,CW0069,48,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000501,FAM00099,2022-06-19,Brooklyn,1,Black/African American,Neglect - Inadequate Supervision,Daycare/Childcare,0.308,CW0064,62,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000502,FAM00396,2022-01-01,Queens,15,Hispanic/Latino,Neglect - Medical,Law Enforcement,0.287,CW0004,71,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Still Open
SCR000503,FAM00025,2024-04-04,Brooklyn,7,Multiracial,Neglect - Educational,Daycare/Childcare,0.429,CW0010,59,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000504,FAM00469,2022-06-28,Manhattan,13,Unknown,Sexual Abuse,School/Educational Staff,0.274,CW0012,41,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000505,FAM00484,2021-03-20,Staten Island,6,Hispanic/Latino,Domestic Violence Exposure,School/Educational Staff,0.322,CW0069,39,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000506,FAM00565,2021-08-11,Bronx,9,Hispanic/Latino,Neglect - Educational,Law Enforcement,0.41,CW0007,63,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000507,FAM00151,2024-05-06,Bronx,7,Black/African American,Physical Abuse,Shelter Staff,0.356,CW0044,45,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000508,FAM00144,2023-06-09,Brooklyn,11,Unknown,Neglect - Educational,School/Educational Staff,0.302,CW0023,69,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000509,FAM00569,2022-12-09,Brooklyn,1,Black/African American,Neglect - Inadequate Supervision,Anonymous,0.113,CW0002,75,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000510,FAM00039,2022-10-05,Brooklyn,0,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.149,CW0037,58,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000511,FAM00109,2023-06-13,Queens,3,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Shelter Staff,0.344,CW0069,44,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000512,FAM00042,2024-05-26,Manhattan,1,Black/African American,Neglect - Medical,School/Educational Staff,0.301,CW0020,77,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000513,FAM00186,2023-11-14,Manhattan,14,Hispanic/Latino,Physical Abuse,Anonymous,0.092,CW0044,40,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000514,FAM00398,2021-08-25,Brooklyn,2,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.303,CW0070,73,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000515,FAM00223,2023-02-28,Queens,17,Black/African American,Emotional Abuse,Anonymous,0.079,CW0074,63,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000516,FAM00634,2024-03-26,Staten Island,4,Hispanic/Latino,Domestic Violence Exposure,Daycare/Childcare,0.393,CW0051,65,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Still Open
SCR000517,FAM00133,2022-01-25,Queens,2,Black/African American,Neglect - Educational,Anonymous,0.124,CW0031,59,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000518,FAM00163,2022-06-06,Bronx,12,Black/African American,Domestic Violence Exposure,Shelter Staff,0.25,CW0041,64,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000519,FAM00215,2021-04-01,Manhattan,9,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.274,CW0058,38,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000520,FAM00235,2024-12-22,Bronx,7,Hispanic/Latino,Emotional Abuse,Law Enforcement,0.384,CW0005,47,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000521,FAM00588,2023-06-13,Bronx,8,Black/African American,Neglect - Inadequate Supervision,Law Enforcement,0.368,CW0033,48,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000522,FAM00009,2021-01-04,Bronx,11,Black/African American,Neglect - Educational,Daycare/Childcare,0.336,CW0043,68,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000523,FAM00074,2023-12-01,Manhattan,2,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.377,CW0019,33,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000524,FAM00492,2024-01-08,Manhattan,17,Black/African American,Physical Abuse,School/Educational Staff,0.387,CW0032,35,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000525,FAM00253,2024-11-07,Bronx,17,Unknown,Neglect - Inadequate Supervision,Family Member,0.139,CW0003,62,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000526,FAM00230,2024-10-05,Brooklyn,9,Unknown,Neglect - Educational,Daycare/Childcare,0.366,CW0001,61,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000527,FAM00519,2022-02-08,Brooklyn,2,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.181,CW0041,45,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000528,FAM00174,2023-01-16,Brooklyn,10,Hispanic/Latino,Neglect - Medical,Daycare/Childcare,0.338,CW0048,40,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000529,FAM00168,2023-06-03,Bronx,0,Multiracial,Neglect - Inadequate Supervision,Law Enforcement,0.395,CW0039,51,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000530,FAM00170,2021-05-24,Brooklyn,0,Black/African American,Neglect - Inadequate Supervision,Law Enforcement,0.369,CW0005,65,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000531,FAM00393,2024-09-22,Manhattan,3,White,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.232,CW0077,79,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000532,FAM00634,2022-11-08,Bronx,6,Unknown,Neglect - Educational,Shelter Staff,0.314,CW0011,52,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000533,FAM00194,2024-06-30,Bronx,14,Black/African American,Emotional Abuse,Law Enforcement,0.395,CW0022,55,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000534,FAM00517,2022-10-05,Brooklyn,11,Black/African American,Emotional Abuse,School/Educational Staff,0.278,CW0064,60,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000535,FAM00029,2024-09-20,Staten Island,11,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Shelter Staff,0.249,CW0012,58,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000536,FAM00165,2021-09-13,Manhattan,5,Hispanic/Latino,Neglect - Inadequate Supervision,Daycare/Childcare,0.278,CW0053,34,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000537,FAM00422,2022-09-08,Manhattan,4,Black/African American,Emotional Abuse,School/Educational Staff,0.267,CW0055,67,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000538,FAM00339,2023-11-05,Brooklyn,5,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.408,CW0053,54,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000539,FAM00648,2022-09-26,Manhattan,17,Hispanic/Latino,Emotional Abuse,Hospital/Medical,0.38,CW0021,63,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000540,FAM00496,2024-09-27,Bronx,0,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.25,CW0019,41,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000541,FAM00365,2023-04-17,Manhattan,14,White,Emotional Abuse,School/Educational Staff,0.326,CW0069,51,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000542,FAM00342,2022-10-31,Queens,8,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.414,CW0072,38,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000543,FAM00500,2023-04-05,Manhattan,6,Black/African American,Neglect - Inadequate Supervision,Family Member,0.21,CW0066,49,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000544,FAM00511,2024-11-28,Queens,11,Hispanic/Latino,Domestic Violence Exposure,Shelter Staff,0.35,CW0059,58,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000545,FAM00327,2022-08-29,Manhattan,6,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.337,CW0049,73,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000546,FAM00217,2024-02-10,Bronx,14,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.284,CW0059,58,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Still Open
SCR000547,FAM00301,2021-09-18,Queens,15,Black/African American,Neglect - Inadequate Supervision,Daycare/Childcare,0.329,CW0023,74,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000548,FAM00132,2022-01-28,Bronx,5,Unknown,Physical Abuse,Hospital/Medical,0.395,CW0003,56,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000549,FAM00070,2023-05-12,Brooklyn,3,Asian,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.184,CW0056,46,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000550,FAM00252,2024-09-23,Bronx,8,Hispanic/Latino,Neglect - Educational,Law Enforcement,0.365,CW0058,34,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000551,FAM00415,2023-02-16,Bronx,15,Hispanic/Latino,Neglect - Educational,Anonymous,0.05,CW0062,74,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000552,FAM00445,2024-10-19,Brooklyn,2,Black/African American,Physical Abuse,School/Educational Staff,0.308,CW0018,42,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000553,FAM00182,2021-12-23,Bronx,9,Hispanic/Latino,Emotional Abuse,Daycare/Childcare,0.273,CW0061,71,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000554,FAM00167,2024-06-14,Brooklyn,9,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.419,CW0037,44,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000555,FAM00091,2024-03-11,Brooklyn,11,Hispanic/Latino,Neglect - Inadequate Supervision,Neighbor/Community,0.132,CW0054,44,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000556,FAM00531,2022-09-09,Bronx,1,Unknown,Physical Abuse,Law Enforcement,0.372,CW0078,47,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000557,FAM00039,2023-04-12,Bronx,11,Hispanic/Latino,Neglect - Educational,Hospital/Medical,0.433,CW0065,79,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000558,FAM00126,2024-01-28,Brooklyn,15,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.296,CW0014,31,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000559,FAM00451,2021-01-01,Brooklyn,2,White,Neglect - Educational,School/Educational Staff,0.295,CW0005,52,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000560,FAM00173,2022-09-15,Manhattan,3,Black/African American,Neglect - Educational,Daycare/Childcare,0.371,CW0062,72,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000561,FAM00220,2022-08-11,Manhattan,17,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.386,CW0001,42,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000562,FAM00638,2022-03-07,Queens,2,Black/African American,Neglect - Inadequate Supervision,Law Enforcement,0.418,CW0063,72,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000563,FAM00058,2023-05-31,Manhattan,14,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.384,CW0067,33,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000564,FAM00476,2024-04-02,Brooklyn,7,White,Neglect - Inadequate Supervision,Law Enforcement,0.328,CW0020,76,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000565,FAM00456,2024-05-27,Manhattan,3,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.156,CW0043,54,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000566,FAM00361,2024-09-02,Bronx,14,White,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.148,CW0042,40,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000567,FAM00001,2022-10-22,Brooklyn,6,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.158,CW0069,79,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000568,FAM00387,2023-08-11,Queens,7,Black/African American,Sexual Abuse,School/Educational Staff,0.379,CW0074,77,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000569,FAM00348,2023-06-24,Brooklyn,4,White,Neglect - Educational,School/Educational Staff,0.299,CW0039,71,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000570,FAM00190,2023-06-25,Queens,8,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Daycare/Childcare,0.33,CW0062,41,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000571,FAM00505,2024-10-15,Queens,2,Black/African American,Neglect - Educational,Hospital/Medical,0.447,CW0048,42,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000572,FAM00191,2022-03-14,Queens,5,Hispanic/Latino,Neglect - Educational,Hospital/Medical,0.331,CW0006,38,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000573,FAM00508,2023-11-13,Queens,16,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.298,CW0074,74,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000574,FAM00369,2023-08-28,Brooklyn,3,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.303,CW0042,67,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000575,FAM00409,2021-12-14,Brooklyn,9,Hispanic/Latino,Sexual Abuse,School/Educational Staff,0.264,CW0058,35,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000576,FAM00117,2024-09-11,Manhattan,4,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.273,CW0043,72,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000577,FAM00134,2021-06-23,Brooklyn,12,Hispanic/Latino,Domestic Violence Exposure,School/Educational Staff,0.257,CW0010,72,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000578,FAM00058,2022-08-05,Manhattan,1,Unknown,Neglect - Educational,Shelter Staff,0.273,CW0078,39,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000579,FAM00556,2023-11-22,Manhattan,16,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.325,CW0039,52,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000580,FAM00173,2024-09-21,Manhattan,6,Asian,Neglect - Educational,Law Enforcement,0.448,CW0013,44,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000581,FAM00149,2024-07-20,Brooklyn,3,Black/African American,Neglect - Educational,Hospital/Medical,0.419,CW0075,74,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000582,FAM00080,2024-06-22,Bronx,0,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.267,CW0039,52,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000583,FAM00213,2022-11-18,Brooklyn,2,Asian,Physical Abuse,Family Member,0.255,CW0011,69,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000584,FAM00203,2021-07-11,Bronx,7,Hispanic/Latino,Neglect - Educational,Hospital/Medical,0.426,CW0016,66,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000585,FAM00229,2022-04-27,Queens,4,White,Neglect - Medical,Family Member,0.166,CW0033,63,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000586,FAM00227,2024-10-09,Brooklyn,13,Black/African American,Sexual Abuse,Social Service Provider,0.258,CW0060,45,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000587,FAM00532,2022-09-28,Bronx,6,Black/African American,Neglect - Inadequate Supervision,Anonymous,0.145,CW0059,74,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000588,FAM00441,2022-04-06,Bronx,3,Hispanic/Latino,Neglect - Educational,Anonymous,0.113,CW0074,70,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000589,FAM00402,2022-02-12,Manhattan,9,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.356,CW0051,76,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000590,FAM00047,2021-10-29,Manhattan,10,Asian,Neglect - Educational,Shelter Staff,0.317,CW0015,61,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000591,FAM00233,2021-02-20,Brooklyn,2,Black/African American,Neglect - Educational,School/Educational Staff,0.301,CW0043,67,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000592,FAM00305,2021-04-05,Bronx,2,Unknown,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.252,CW0027,69,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000593,FAM00526,2022-05-17,Brooklyn,0,Unknown,Neglect - Inadequate Supervision,Social Service Provider,0.356,CW0056,75,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000594,FAM00143,2023-09-01,Brooklyn,11,Black/African American,Neglect - Inadequate Supervision,Hospital/Medical,0.369,CW0060,34,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000595,FAM00415,2024-06-05,Manhattan,10,Black/African American,Domestic Violence Exposure,Daycare/Childcare,0.312,CW0070,46,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000596,FAM00513,2021-05-30,Manhattan,6,Multiracial,Physical Abuse,Anonymous,0.091,CW0047,51,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000597,FAM00373,2023-07-22,Brooklyn,13,Unknown,Neglect - Medical,Anonymous,0.133,CW0008,68,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000598,FAM00566,2023-04-29,Bronx,12,Hispanic/Latino,Neglect - Educational,Social Service Provider,0.389,CW0063,70,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000599,FAM00259,2024-07-13,Staten Island,8,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.31,CW0007,77,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000600,FAM00471,2024-03-24,Brooklyn,14,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.288,CW0002,47,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000601,FAM00012,2022-02-03,Manhattan,2,Hispanic/Latino,Neglect - Educational,Hospital/Medical,0.344,CW0017,57,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000602,FAM00330,2024-11-27,Bronx,1,Black/African American,Neglect - Educational,School/Educational Staff,0.338,CW0004,42,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000603,FAM00358,2023-02-26,Brooklyn,3,White,Physical Abuse,School/Educational Staff,0.271,CW0026,79,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000604,FAM00408,2023-10-10,Bronx,0,Black/African American,Physical Abuse,Hospital/Medical,0.426,CW0078,71,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000605,FAM00373,2023-03-30,Brooklyn,7,Black/African American,Neglect - Inadequate Supervision,Anonymous,0.122,CW0072,30,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000606,FAM00008,2022-05-15,Staten Island,16,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Shelter Staff,0.322,CW0069,79,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000607,FAM00122,2021-10-30,Brooklyn,0,Black/African American,Neglect - Inadequate Supervision,Hospital/Medical,0.412,CW0005,48,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000608,FAM00348,2024-09-05,Bronx,1,Black/African American,Neglect - Educational,Law Enforcement,0.377,CW0005,63,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000609,FAM00090,2024-11-09,Bronx,6,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.334,CW0069,33,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000610,FAM00648,2021-01-12,Brooklyn,16,Black/African American,Neglect - Educational,School/Educational Staff,0.415,CW0003,72,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Still Open
SCR000611,FAM00316,2021-08-07,Bronx,4,Black/African American,Neglect - Educational,Anonymous,0.184,CW0038,32,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000612,FAM00178,2023-05-21,Bronx,7,Black/African American,Domestic Violence Exposure,Law Enforcement,0.376,CW0001,70,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000613,FAM00540,2022-03-25,Manhattan,0,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.14,CW0008,39,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000614,FAM00041,2021-12-27,Brooklyn,1,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.284,CW0013,57,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000615,FAM00502,2024-11-26,Bronx,17,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.093,CW0070,63,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000616,FAM00145,2023-11-27,Queens,16,Hispanic/Latino,Neglect - Inadequate Supervision,Law Enforcement,0.352,CW0050,68,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000617,FAM00201,2023-08-10,Bronx,0,Unknown,Neglect - Inadequate Supervision,Shelter Staff,0.241,CW0008,76,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000618,FAM00461,2021-04-13,Staten Island,16,Black/African American,Neglect - Educational,Law Enforcement,0.413,CW0030,48,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000619,FAM00558,2024-02-16,Brooklyn,9,Hispanic/Latino,Neglect - Educational,Family Member,0.166,CW0040,71,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000620,FAM00547,2022-05-26,Queens,14,White,Emotional Abuse,Law Enforcement,0.447,CW0079,75,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
